,frame,match_strength
16_44_stavros.wav 17_00_dp.wav,2169,248
16_44_stavros.wav 17_00_fil.wav,2287,223
16_44_stavros.wav 17_00_giorgos.wav,2465,320
16_44_stavros.wav 17_00_nikos.wav,2619,240
16_44_stavros.wav 17_00_stavros.wav,1897,240
16_44_stavros.wav 17_10_dp.wav,2157,232
16_44_stavros.wav 17_10_fil.wav,2005,230
16_44_stavros.wav 17_10_giorgos.wav,1770,253
16_44_stavros.wav 17_10_nikos.wav,3300,252
16_44_stavros.wav 17_10_stavros.wav,2356,246
16_44_stavros.wav 17_20_dp.wav,3366,234
16_44_stavros.wav 17_20_giorgos.wav,2315,204
16_44_stavros.wav 17_20_nikos.wav,3092,249
16_44_stavros.wav 17_20_stavros.wav,2084,232
16_44_stavros.wav 17_30_dp.wav,1966,197
16_44_stavros.wav 17_30_fil.wav,1469,246
16_44_stavros.wav 17_30_giorgos.wav,2594,232
16_44_stavros.wav 17_30_nikos.wav,2165,203
16_44_stavros.wav 17_30_stavros.wav,1935,212
16_44_stavros.wav 17_40_dp.wav,2351,256
16_44_stavros.wav 17_40_fil.wav,2199,264
16_44_stavros.wav 17_40_giorgos.wav,2343,362
16_44_stavros.wav 17_40_nikos.wav,1463,204
16_44_stavros.wav 17_40_stavros.wav,2164,202
16_44_stavros.wav 18_10_dp.wav,2530,238
16_44_stavros.wav 18_10_fil.wav,1743,204
16_44_stavros.wav 18_10_giorgos.wav,3018,269
16_44_stavros.wav 18_10_stavros.wav,688,177
16_44_stavros.wav 18_20_dp.wav,2345,258
16_44_stavros.wav 18_20_fil.wav,2796,202
16_44_stavros.wav 18_20_giorgos.wav,1753,280
16_44_stavros.wav 18_20_nikos.wav,2142,218
16_44_stavros.wav 18_20_stavros.wav,1329,252
16_44_stavros.wav 18_30_dp.wav,2551,348
16_44_stavros.wav 18_30_fil.wav,2403,237
16_44_stavros.wav 18_30_giorgos.wav,2182,260
16_44_stavros.wav 18_30_nikos.wav,2260,230
16_44_stavros.wav 18_30_stavros.wav,1701,242
16_44_stavros.wav 18_40_dp.wav,2876,225
16_44_stavros.wav 18_40_fil.wav,2009,274
16_44_stavros.wav 18_40_giorgos.wav,2027,244
16_44_stavros.wav 18_40_nikos.wav,2903,220
16_44_stavros.wav 18_40_stavros.wav,1989,250
16_44_stavros.wav 18_50_dp.wav,2841,232
16_44_stavros.wav 18_50_fil.wav,2403,263
16_44_stavros.wav 18_50_giorgos.wav,8152,282
16_44_stavros.wav 18_50_nikos.wav,3123,194
16_44_stavros.wav 18_50_stavros.wav,1985,164
16_44_stavros.wav 18_58_stavros.wav,2117,248
17_00_dp.wav 17_00_fil.wav,2004,635
17_00_dp.wav 17_00_giorgos.wav,3652,1167
17_00_dp.wav 17_00_nikos.wav,1598,575
17_00_dp.wav 17_00_stavros.wav,1566,549
17_00_dp.wav 17_10_dp.wav,2734,289
17_00_dp.wav 17_10_fil.wav,2646,254
17_00_dp.wav 17_10_giorgos.wav,3370,295
17_00_dp.wav 17_10_nikos.wav,2262,241
17_00_dp.wav 17_10_stavros.wav,1452,237
17_00_dp.wav 17_20_dp.wav,2913,310
17_00_dp.wav 17_20_giorgos.wav,2766,269
17_00_dp.wav 17_20_nikos.wav,2685,320
17_00_dp.wav 17_20_stavros.wav,2904,245
17_00_dp.wav 17_30_dp.wav,3084,240
17_00_dp.wav 17_30_fil.wav,2806,229
17_00_dp.wav 17_30_giorgos.wav,2395,216
17_00_dp.wav 17_30_nikos.wav,2851,273
17_00_dp.wav 17_30_stavros.wav,2389,219
17_00_dp.wav 17_40_dp.wav,2878,261
17_00_dp.wav 17_40_fil.wav,3539,227
17_00_dp.wav 17_40_giorgos.wav,3608,279
17_00_dp.wav 17_40_nikos.wav,3046,269
17_00_dp.wav 17_40_stavros.wav,3067,204
17_00_dp.wav 18_10_dp.wav,2115,254
17_00_dp.wav 18_10_fil.wav,2727,183
17_00_dp.wav 18_10_giorgos.wav,3925,339
17_00_dp.wav 18_10_stavros.wav,2354,339
17_00_dp.wav 18_20_dp.wav,2054,245
17_00_dp.wav 18_20_fil.wav,1399,206
17_00_dp.wav 18_20_giorgos.wav,3354,280
17_00_dp.wav 18_20_nikos.wav,2953,324
17_00_dp.wav 18_20_stavros.wav,3702,212
17_00_dp.wav 18_30_dp.wav,2033,262
17_00_dp.wav 18_30_fil.wav,2430,301
17_00_dp.wav 18_30_giorgos.wav,2693,308
17_00_dp.wav 18_30_nikos.wav,2892,231
