,frame,match_strength
16_44_stavros.wav 17_00_dp.wav,2169,248.0
16_44_stavros.wav 17_00_fil.wav,2287,223.0
16_44_stavros.wav 17_00_giorgos.wav,2465,320.0
16_44_stavros.wav 17_00_nikos.wav,2619,240.0
16_44_stavros.wav 17_00_stavros.wav,1897,240.0
16_44_stavros.wav 17_10_dp.wav,2157,232.0
16_44_stavros.wav 17_10_fil.wav,2005,230.0
16_44_stavros.wav 17_10_giorgos.wav,1770,253.0
16_44_stavros.wav 17_10_nikos.wav,3300,252.0
16_44_stavros.wav 17_10_stavros.wav,2356,246.0
16_44_stavros.wav 17_20_dp.wav,3366,234.0
16_44_stavros.wav 17_20_giorgos.wav,2315,204.0
16_44_stavros.wav 17_20_nikos.wav,3092,249.0
16_44_stavros.wav 17_20_stavros.wav,2084,232.0
16_44_stavros.wav 17_30_dp.wav,1966,197.0
16_44_stavros.wav 17_30_fil.wav,1469,246.0
16_44_stavros.wav 17_30_giorgos.wav,2594,232.0
16_44_stavros.wav 17_30_nikos.wav,2165,203.0
16_44_stavros.wav 17_30_stavros.wav,1935,212.0
16_44_stavros.wav 17_40_dp.wav,2351,256.0
16_44_stavros.wav 17_40_fil.wav,2199,264.0
16_44_stavros.wav 17_40_giorgos.wav,2343,362.0
16_44_stavros.wav 17_40_nikos.wav,1463,204.0
16_44_stavros.wav 17_40_stavros.wav,2164,202.0
16_44_stavros.wav 18_10_dp.wav,2530,238.0
16_44_stavros.wav 18_10_fil.wav,1743,204.0
16_44_stavros.wav 18_10_giorgos.wav,3018,269.0
16_44_stavros.wav 18_10_stavros.wav,688,177.0
16_44_stavros.wav 18_20_dp.wav,2345,258.0
16_44_stavros.wav 18_20_fil.wav,2796,202.0
16_44_stavros.wav 18_20_giorgos.wav,1753,280.0
16_44_stavros.wav 18_20_nikos.wav,2142,218.0
16_44_stavros.wav 18_20_stavros.wav,1329,252.0
16_44_stavros.wav 18_30_dp.wav,2551,348.0
16_44_stavros.wav 18_30_fil.wav,2403,237.0
16_44_stavros.wav 18_30_giorgos.wav,2182,260.0
16_44_stavros.wav 18_30_nikos.wav,2260,230.0
16_44_stavros.wav 18_30_stavros.wav,1701,242.0
